Date,Open,High,Low,Close,Adj Close,Volume
4/4/2013,253.199997,254,248.020004,248.770004,213.306046,6417705
4/5/2013,248.089996,249.869995,243.440002,245.910004,210.853775,6484050
4/8/2013,245.300003,247.600006,239.600006,240.639999,206.335022,4864420
4/9/2013,242.070007,247.960007,239.759995,240.639999,206.335022,7490495
4/10/2013,242.960007,248.570007,240,247.860001,212.525757,10046765
4/11/2013,249.309998,250.979996,246.199997,250.429993,214.729401,9714180
4/12/2013,248,255.399994,246.899994,252.860001,216.812988,7911225
4/15/2013,251.199997,262.269989,250.800003,258.839996,221.940491,7689700
4/16/2013,257.299988,273.799988,256.549988,272.660004,233.790359,11987860
4/17/2013,274.359985,290,273.230011,275.440002,236.174042,9186545
4/18/2013,273.940002,287.380005,271,285.880005,245.125748,11300880
4/22/2013,285.880005,296.799988,285.880005,288.230011,247.140747,13252895
4/23/2013,289,291.019989,282.630005,288.959991,247.766663,7340650
4/25/2013,288.959991,304,288.959991,300.679993,257.815857,19391755
4/26/2013,298,299.980011,293.420013,297.269989,254.892029,10489965
4/29/2013,297.200012,297.200012,292.049988,295.079987,253.014206,6561785
4/30/2013,297.399994,300.200012,291.600006,298.540009,255.980957,9010945
5/2/2013,298.540009,305.75,296.790009,303.200012,259.976685,10775590
5/3/2013,302.600006,302.600006,293.399994,294.959991,252.911331,9326475
5/6/2013,293.399994,294.369995,289,291.950012,250.330444,6739100
5/7/2013,292.399994,301.399994,291.820007,300.790009,257.910217,7357170
5/8/2013,301.200012,302.809998,294.149994,297.940002,255.466492,4865505
5/9/2013,297.600006,297.600006,289.519989,290.829987,249.370056,15607600
5/10/2013,290,294.940002,289.200012,293.980011,252.071014,7711835
5/13/2013,293,299.600006,289.220001,290.399994,249.001389,10233900
5/14/2013,291,294.380005,289.019989,293.5,251.65947,6341930
5/15/2013,293.600006,302.98999,293.600006,301.73999,258.724792,8367595
5/16/2013,300.459991,308,300.290009,306.179993,262.53183,5787370
5/17/2013,306,308.190002,303,307.049988,263.277802,6127865
5/20/2013,307.73999,309.980011,304.910004,305.940002,262.32605,7109685
5/21/2013,305.049988,309,303,304.109985,260.756927,4457135
5/22/2013,305.399994,306.200012,299.619995,302.589996,259.453613,4430345
5/23/2013,297.019989,300.570007,289.480011,291.040009,249.550171,17628985
5/24/2013,293.399994,296.350006,287.109985,292.23999,250.579071,11354170
5/27/2013,292,297.600006,289,295.630005,253.485825,5079820
5/28/2013,295.100006,296.73999,291.609985,293.700012,251.830948,6338635
5/29/2013,293.799988,293.799988,288.700012,291.920013,250.304718,4984010
5/30/2013,289.859985,292.880005,283.630005,286.540009,245.69165,19729175
5/31/2013,285,287.730011,282.200012,286.109985,245.322952,6939990
6/3/2013,284.799988,287.600006,282,286.170013,245.37442,5639100
6/4/2013,286,288.799988,277.399994,279.089996,239.303711,6481315
6/5/2013,278,279.880005,272.420013,276.450012,237.04007,10525180
6/6/2013,275.799988,285.559998,273.649994,283.619995,243.187927,7218255
6/7/2013,282.799988,284.390015,273.820007,275.649994,236.354095,16958990
6/10/2013,277.200012,277.869995,269.640015,271.049988,232.409866,7101745
6/11/2013,269,269,262.570007,264.540009,226.827911,10709250
6/12/2013,262.399994,262.799988,253.309998,254.889999,218.553604,16756695
6/13/2013,254,258.440002,251.479996,254.130005,217.901932,9278645
6/14/2013,256.839996,262.079987,256.359985,259.600006,222.592148,9145290
6/17/2013,260.420013,264.209991,253.809998,263.209991,225.687515,9148855
6/18/2013,262.350006,262.940002,256.799988,257.320007,220.637161,7215030
6/19/2013,257.390015,257.899994,253.399994,257.01001,220.371384,7633795
6/20/2013,252.800003,253.199997,246.399994,247.960007,212.611511,9339930
6/21/2013,245.809998,253.889999,244.789993,251.940002,216.024139,11567800
6/24/2013,249.860001,251.759995,246.869995,248.610001,213.168839,8864770
6/25/2013,250.199997,250.800003,241.580002,246.289993,211.179581,17111600
6/26/2013,247.220001,252.839996,247.220001,249.679993,214.086288,13302520
6/27/2013,252.800003,257,252.740005,255.009995,218.656479,11566105
6/28/2013,258.399994,266.399994,257.5,265.040009,227.256653,7250955
7/1/2013,264.799988,270.779999,264.01001,269.76001,231.303757,5323995
7/2/2013,268.420013,270.980011,260.929993,261.700012,224.392792,5683025
7/3/2013,258.290009,260.410004,254.220001,255.570007,219.136642,6367035
7/4/2013,256.420013,258.600006,251.820007,252.990005,216.924454,9497150
7/5/2013,254.360001,260.279999,253.800003,257.609985,237.805466,5785940
7/8/2013,255.800003,255.800003,249.199997,250.509995,231.251297,10780235
7/9/2013,253,255.460007,252,252.869995,233.429871,4614270
