Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
253.590733487,255.396769702,249.605171055,251.561663712,247.07141765,16193109.1214,2018,5,1
249.756774678,255.654427797,248.140749336,252.674264159,248.254417442,16425618.3687,2018,5,2
253.206938556,255.774647738,249.274234303,252.351825103,248.587046725,16409936.9501,2018,5,3
253.738884341,253.218834625,249.899376715,252.46842268,249.780841369,16142967.1913,2018,5,4
254.319578655,259.15925477,248.541635837,254.009216336,250.810777806,16402438.4831,2018,5,5
254.929816001,255.904491644,250.917346882,254.046237848,249.585573492,16190040.2233,2018,5,6
253.610170198,255.471437543,251.67053312,253.164000892,248.643463434,16193108.7532,2018,5,7
254.580459995,256.665405315,247.555074456,254.570311737,247.503566534,16332130.5677,2018,5,8
255.508867646,256.83277618,248.773379559,254.430478955,250.060561363,16374405.4689,2018,5,9
255.452720759,256.819596984,250.400807808,252.672276194,249.0038261,16508078.9695,2018,5,10
254.13865662,257.349166191,251.12559814,253.488111999,249.469035885,16360031.7694,2018,5,11
254.121202401,255.192545464,249.848360926,253.238627139,249.192073036,16462206.0359,2018,5,12
252.644276863,256.281688118,250.388159328,253.968438856,250.199400523,16190035.8952,2018,5,13
252.574224229,255.795851246,249.12374033,253.970144416,248.256580693,16418834.2272,2018,5,14
253.842724912,257.487887991,250.560105093,254.193749448,250.744229752,16534521.3055,2018,5,15
254.252852036,255.522884793,249.928216875,253.043207197,248.884358935,16343543.6529,2018,5,16
254.299631904,255.390925125,250.644519755,254.920025522,249.621632873,16343542.6196,2018,5,17
254.674984984,255.789177178,251.081267587,253.425394934,249.292529525,16374410.0282,2018,5,18
252.780022602,256.202753574,250.673467333,253.414304171,249.512988314,16402436.7353,2018,5,19
252.985512592,255.596064021,250.154205463,252.533006455,248.528385255,16335656.9531,2018,5,20
253.746573837,257.491370149,248.419840721,253.200314603,250.306166623,16279847.9866,2018,5,21
253.605441774,255.977262894,249.141052251,254.17073146,248.694688307,16179308.1635,2018,5,22
254.635148649,256.895548827,249.157745722,252.891248778,247.670867912,16343544.3,2018,5,23
256.06990913,256.432323699,251.160946876,254.540888961,249.963351472,16360033.9023,2018,5,24
254.115783964,256.876022442,251.162126161,254.30328382,248.558933088,16193108.3228,2018,5,25
253.050159506,255.43170966,250.812007333,253.45177901,248.215417497,16279846.8399,2018,5,26
252.777754336,256.470659381,249.847667525,252.078178331,249.286611746,16279846.6688,2018,5,27
253.466063378,254.928663598,249.03181507,252.841291677,248.7522081,16265169.5412,2018,5,28
254.743317051,257.680352957,250.329545202,254.494684554,247.152582185,16265169.6406,2018,5,29
253.506276802,257.094223062,250.453640602,254.973134741,248.62679972,16279845.0708,2018,5,30
